153kHz (1961m)
162kHz (1852m)
171kHz (1754m)
180kHz (1667m)
183kHz (1639m)
189kHz (1587m)
198kHz (1515m)
207kHz (1449m)
216kHz (1389m)
225kHz (1333m)
234kHz (1282m)
243kHz (1235m)
252kHz (1190m)
261kHz (1149m)
270kHz (1111m)
279kHz (1075m)
540kHz (556m)
549kHz (546m)
558kHz (538m)
567kHz (529m)
576kHz (521m)
585kHz (513m)
594kHz (505m)
603kHz (498m)
612kHz (490m)
621kHz (483m)
630kHz (476m)
639kHz (469m)
648kHz (463m)
657kHz (457m)
666kHz (450m)
675kHz (444m)
684kHz (439m)
693kHz (433m)
702kHz (427m)
711kHz (422m)
720kHz (417m)
729kHz (412m)
738kHz (407m)
747kHz (402m)
756kHz (397m)
765kHz (392m)
774kHz (388m)
783kHz (383m)
792kHz (379m)
801kHz (375m)
810kHz (370m)
819kHz (366m)
828kHz (362m)
837kHz (358m)
846kHz (355m)
855kHz (351m)
864kHz (347m)
873kHz (344m)
882kHz (340m)
891kHz (337m)
900kHz (333m)
909kHz (330m)
918kHz (327m)
927kHz (324m)
936kHz (321m)
945kHz (317m)
954kHz (314m)
963kHz (312m)
972kHz (309m)
981kHz (306m)
990kHz (303m)
999kHz (300m)
1008kHz (298m)
1017kHz (295m)
1026kHz (292m)
1035kHz (290m)
1044kHz (287m)
1053kHz (285m)
1062kHz (282m)
1071kHz (280m)
1080kHz (278m)
1089kHz (275m)
1098kHz (273m)
1107kHz (271m)
1116kHz (269m)
1125kHz (267m)
1134kHz (265m)
1143kHz (262m)
1152kHz (260m)
1161kHz (258m)
1170kHz (256m)
1179kHz (254m)
1188kHz (253m)
1197kHz (251m)
1206kHz (249m)
1215kHz (247m)
1224kHz (245m)
1233kHz (243m)
1242kHz (242m)
1251kHz (240m)
1260kHz (238m)
1269kHz (236m)
1278kHz (235m)
1287kHz (233m)
1296kHz (231m)
1305kHz (230m)
1314kHz (228m)
1323kHz (227m)
1332kHz (225m)
1341kHz (224m)
1350kHz (222m)
1359kHz (221m)
1368kHz (219m)
1377kHz (218m)
1386kHz (216m)
1395kHz (215m)
1404kHz (214m)
1413kHz (212m)
1422kHz (211m)
1431kHz (210m)
1440kHz (208m)
1449kHz (207m)
1458kHz (206m)
1467kHz (204m)
1476kHz (203m)
1485kHz (202m)
1494kHz (201m)
1503kHz (200m)
1512kHz (198m)
1521kHz (197m)
1530kHz (196m)
1539kHz (195m)
1548kHz (194m)
1557kHz (193m)
1566kHz (192m)
1575kHz (190m)
1584kHz (189m)
1593kHz (188m)
1602kHz (187m)
